,Unnamed: 0,entity_cn,country,entity_en
138,138,仰光計算機大學,Myanmar,Yangon computer university
139,139,仰光公共卫生大学,Myanmar,Yangon university of public health
140,140,仰光牙科大学,Myanmar,University of dental medicine
141,141,丹老大学,Myanmar,Myeik university
142,142,曼德勒大学,Myanmar,University of mandalay
143,143,曼德勒理工大学,Myanmar,Mandalay technological university
144,144,曼德勒医学大学,Myanmar,Mandalay medical university
145,145,曼德勒技术大学,Myanmar,Mandalay university of technology
146,146,曼德勒文化大学,Myanmar,Mandalay cultural university
147,147,曼德勒牙医大学,Myanmar,Mandalay dental university
148,148,曼德勒医药大学,Myanmar,Mandalay university of medicine
149,149,曼德勒计算机研究大学,Myanmar,Mandalay computer research university
150,150,曼德勒传统医学大学,Myanmar,Mandalay university of traditional medicine
151,151,曼德勒医科大学,Myanmar,Mandalay medical university
152,152,曼德勒外国语大学,Myanmar,Mandalay university of foreign studies
153,153,曼德勒远程教育大学,Myanmar,Mandalay university of distance education
154,154,辛塔达大学,Myanmar,Hinthada universit
155,155,庆同科技大学,Myanmar,Kyung tung university of science and technology
156,156,叶津兽医科学大学,Myanmar,University of veterinary science yezin
157,157,缅甸海事大学,Myanmar,Myanmar maritime university
158,158,亚当森大学,Philippines,Adamson university
159,159,卡加延雅典耀大学,Philippines,Ateneo de cagayan university
160,160,达沃雅典耀大学,Philippines,Ateneo de davao university
161,161,马尼拉雅典耀大学,Philippines,Ateneo de manila university
162,162,比立勤国立大学,Philippines,Bulacan state university
163,163,中吕宋国立大学,Philippines,Central luzon national university
164,164,中菲律宾大学,Philippines,University of central philippines
165,165,中米沙鄢理工学院,Philippines,Central visayas institute of technology
166,166,德拉萨大学,Philippines,De la salle university
167,167,萨维尔大学,Philippines,Savile university
168,168,玛布亚科技学院,Philippines,Mabuya institute of technology
169,169,圣母法帝玛大学,Philippines,Our lady of fatima university
170,170,菲律宾师范大学,Philippines,Philippine normal university
171,171,菲律宾大学,Philippines,University of the philippines
172,172,马尼拉大学,Philippines,University of manila
173,173,东方大学,Philippines,Eastern university
174,174,圣道顿马士大学,Philippines,University of st. dottomas
175,175,赛维尔大学,Philippines,Sevier university
176,176,新加坡国立大学,Singapore,National university of singapore
177,177,南洋理工大学,Singapore,Nanyang technological university
178,178,新加坡管理大学,Singapore,Singapore management university
179,179,新加坡科技设计大学,Singapore,Singapore university of technology and design
180,180,新加坡共和理工学院,Singapore,Republic polytechnic singapore
181,181,新跃社科大学,Singapore,Singapore university of social sciences
182,182,新加坡理工大学,Singapore,Singapore polytechnic university
183,183,義安理工學院,Singapore,Ngee ann polytechnic
184,184,新加坡管理学院,Singapore,Singapore institute of management
185,185,新跃大学,Singapore,Sim university
186,186,朱拉隆功大学,Thailand,Chulalongkorn university
187,187,清迈大学,Thailand,Chiang mai university
189,189,孔敬大学,Thailand,Khon kaen university
191,191,吞武里国王科技大学,Thailand,King thonburi university of science and technology
192,192,皇太后大学,Thailand,Mae fah luang university
193,193,梅州大学,Thailand,Maejo university
194,194,玛希敦大学,Thailand,Mahidol university
195,195,玛哈沙拉堪大学,Thailand,Mahasarakham university
196,196,那空帕农大学,Thailand,Nakhon phanom university
197,197,那黎宣大学,Thailand,Naresuan university
198,198,泰国国立发展管理学院,Thailand,National institute of development administration
199,199,巴吞弯理工学院,Thailand,Pathumwan institute of technology
200,200,宋卡王子大学,Thailand,Prince of songkhla university
201,201,娜拉媞瓦公主大学,Thailand,Princess of naradhiwas university
202,202,蓝康恒大学,Thailand,Ramkhamhaeng university
203,203,泰国艺术大学国际学院,Thailand,International college of thailand university of the arts
204,204,素罗娜丽科技大学,Thailand,Suranaree university of technology
205,205,诗纳卡宁威洛大学,Thailand,Srinakharinwirot university
206,206,素可泰塔玛提边远远程教育大学,Thailand,Sukhothai thammathirat open university
207,207,泰国国立法政大学,Thailand,Thammasat university
209,209,曼松德昭帕亚皇家师范大学,Thailand,Bansomdejchaopraya rajabhat university
210,210,武里南皇家大学,Thailand,Buriram rajabhat university
211,211,差亚鹏皇家大学,Thailand,Chayapeng rajabhat university
212,212,占塔拉卡什皇家大学,Thailand,Chantarakash rajabhat university
213,213,清迈皇家大学,Thailand,Chiang mai rajabhat university
214,214,清莱皇家大学,Thailand,Chiang rai rajabhat university
215,215,吞武里皇家大学,Thailand,Dhonburi rajabhat university
216,216,加拉信皇家师范大学,Thailand,Kalasin rajabhat normal university
217,217,加拉信皇家大学,Thailand,Kalasin rajabhat university 
218,218,甘烹碧皇家大学,Thailand,Kamphaeng phet rajabhat university
219,219,北碧皇家大学,Thailand,Kanchanaburi rajabhat university
220,220,南邦皇家大学,Thailand,Lampang rajabhat university
221,221,黎府大学,Thailand,Loei rajabhat university
222,222,玛哈沙拉堪皇家大学,Thailand,Rajabhat maha sarakham university
223,223,泰国普吉皇家大学,Thailand,Phuket rajabhat university
224,224,佛统皇家大学,Thailand,Nakhon pathom rajabhat university
225,225,呵叻皇家大学,Thailand,Nakhon ratchasima rajabhat university
226,226,那空沙旺皇家大学,Thailand,Nakhon sawan rajabhat university
227,227,那空是塔玛拉皇家大学,Thailand,Nakhon rajabhat university
228,228,瓦拉雅阿隆空皇家大学,Thailand,Varaya alongkorn rajabhat university
229,229,碧差汶皇家大学,Thailand,Phetchabun rajabhat university
230,230,碧武里皇家师范大学,Thailand,Phetchaburi rajabhat university
231,231,帕纳空皇家大学,Thailand,Phanakorn rajabhat university
232,232,阿育塔亚皇家大学,Thailand,Phranakhon si ayutthaya rajabhat university
233,233,普吉皇家大学,Thailand,Phuket rajabhat university
234,234,披博宋甘皇家大学,Thailand,Pibulsongkram rajabhat university
235,235,拉差那卡琳皇家大学,Thailand,Rajabhat rajabhat university
236,236,兰帕潘尼皇家大学,Thailand,Rambhai barni rajabhat university
237,237,百艺皇家大学,Thailand,Roi-et rajabhat university
238,238,沙功那空皇家大学,Thailand,Sakon nakhon rajabhat university
239,239,色军皇家大学,Thailand,Sakon nakhon rajabhat university
240,240,四色菊皇家大学,Thailand,Si sa ket rajabhat university
241,241,宋卡拉皇家大学,Thailand,Songkla rajabhat university
242,242,宣都实皇家大学,Thailand,Suandusit rajabhat university
243,243,宣素那他皇家大学,Thailand,Suan sunatar rajabhat university
244,244,素叻他尼皇家大学,Thailand,Surat thani rajabhat university
245,245,素辇德拉皇家大学,Thailand,Surindra rajabhat university
246,246,赛普萨陲皇家大学,Thailand,Thepsatri rajabhat university
247,247,乌汶叻差他尼皇家大学,Thailand,Ubon ratchathani rajabhat university
248,248,乌隆他尼皇家大学,Thailand,Udon thani rajabhat university
249,249,程逸皇家大学,Thailand,Uttaradit rajabhat university
250,250,也拉皇家大学,Thailand,Yala rajabhat university
251,251,亚洲太平洋国际大学,Thailand,Asia pacific international university
252,252,亚洲科技大学,Thailand,Asian university of science and technology
253,253,易三仓大学,Thailand,Assumption university
254,254,曼谷大学,Thailand,Bangkok university
255,255,曼谷吞武里大学,Thailand,Bangkok thonburi university
256,256,班颂德皇家大学,Thailand,Bansomedjchaopraya rajabhat university
257,257,基督教大学,Thailand,Christian university of thailand
258,258,博仁大学,Thailand,Dhurakij pundit university
259,259,萨恩电子大学,Thailand,Saan electronic university
260,260,东亚大学,Thailand,Eastern asia university
261,261,合艾大学,Thailand,Hat yai university
262,262,华侨崇圣大学,Thailand,Huachiew chalermprakiet university
263,263,格森并列大学,Thailand,Kasem bundit university
264,264,格乐大学,Thailand,Krirk university
265,265,马汉科理工大学,Thailand,Mahanko university of technology
266,266,东北大学,Thailand,North eastern college
267,267,北清迈大学,Thailand,North chiang mai university
268,268,巴吞他尼府大学,Thailand,Pathum thani university
269,269,西北大学,Thailand,Payap university
270,270,泰国中央大学,Thailand,Central university of thailand
272,272,阿巴宝石大学,Thailand,Rattana bundit university
273,273,兰实大学,Thailand,Rangsit university
274,274,圣约翰大学,Thailand,St john‘s university
275,275,秦那越大学,Thailand,Shinawatra university
276,276,暹罗大学,Thailand,Siam university
277,277,东南亚大学,Thailand,Southeast asia university
278,278,斯巴顿大学,Thailand,Sripatum university
279,279,斯坦佛国际大学,Thailand,Stamford international university
280,280,泰日工业大学,Thailand,Thai-nichi institute of technology
281,281,远东大学,Thailand,The far eastern university
282,282,泰国商会大学,Thailand,University of thai chamber of commerce
283,283,翁差瓦拉昆大学,Thailand,Vongchavalitkul university
284,284,韦伯斯特大学,Thailand,Webster university thailand
285,285,也拉伊斯兰大学,Thailand,Yala islamic university
286,286,泰国东方管理与技术大学,Thailand,The eastern university of management and technology thailand
287,287,吞武里大学,Thailand,Thonburi university
288,288,曼谷北部大学,Thailand,Northern university of bangkok
289,289,泰国艺术发展研究院,Thailand,Bunditpatanasilpa institute
290,290,加拉信大学,Thailand,Kalasin university
291,291,巴吞湾理工学院,Thailand,Pathumwan institute of technology
292,292,Praboromarajchanok研究院,Thailand,Praboromarajchanok research institute
293,293,兰甘亨大学,Thailand,Ramkhamhaeng university
294,294,素可泰·探马提叻开放大学,Thailand,Sukhothai thanmatirat open university
295,295,泰国国立体育大学,Thailand,Thailand national sports university
296,296,玛希隆大学,Thailand,Mahidol university
297,297,曼谷皇家理工大学,Thailand,Rajamangala university of technology krungthep
298,298,泰国法政大学,Thailand,Thammasat university
299,299,苏蕾娜丽理工大学,Thailand,Suranaree university of technology
302,302,先皇理工学院,Thailand,King mongkut's institute of technology ladkrabang
303,303,泰国艺术大学,Thailand,Silpakorn university
304,304,国立发展管理学院,Thailand,National institute of development management
305,305,泰国博仁大学,Thailand,"Boren university, thailand"
306,306,那瑞宣大学,Thailand,Naruixuan university
307,307,泰国宋卡王子大学,Thailand,"Prince of songkhla university, thailand"
308,308,泰国清莱皇家大学,Thailand,"Chiang rai rajabhat university, thailand"
309,309,泰国玛哈沙拉坎大学,Thailand,"Mahasarakham university, thailand"
310,310,泰国艺术大学建筑学院,Thailand,"Faculty of architecture, university of the arts, thailand"
311,311,泰国梅州大学,Thailand,"Meizhou university, thailand"
312,312,泰国兰实大学,Thailand,"Rangsit university, thailand"
313,313,泰国暹罗大学,Thailand,"Siam university, thailand"
314,314,泰国东北皇家理工大学,Thailand,Rajamangala university of technology isan
315,315,泰国皇家理工大学,Thailand,Rajamangala university of technology
316,316,河内国家大学,Vietnam,Hanoi national university
317,317,太原大学,Vietnam,Thai nguyen university
318,318,顺化大学,Vietnam,Hue university
319,319,岘港大学,Vietnam,The university of da nang
320,320,胡志明市国家大学,Vietnam,Ho chi minh city national university
321,321,越南西北大学,Vietnam,Tay bac university
322,322,荣市大学,Vietnam,Vinh university
323,323,芽庄大学,Vietnam,Nha trang university
324,324,西原大学,Vietnam,Nishihara university
325,325,芹苴大学,Vietnam,Can tho university 
326,326,越匈工业大学,Vietnam,Vietnam hungary industrial university
327,327,河内理工大学,Vietnam,Kawachi institute of technology
328,328,工会大学,Vietnam,Trade union university
329,329,交通运输技术大学,Vietnam,University of transportation technology
330,330,河内纺织工业大学,Vietnam,University of hanoi industrial textile
331,331,河内工业大学,Vietnam,Hanoi university of industry
332,332,广宁工业大学,Vietnam,Quang ninh university of technology
333,333,胡志明市工业大学,Vietnam,Ho chi minh city university of technology
334,334,胡志明市食品工业大学,Vietnam,Ho chi minh city university of food technology
335,335,越池工业大学,Vietnam,Koshichi university of technology
336,336,越南油气大学,Vietnam,Petrovietnam university
337,337,大叻大学,Vietnam,Dalat university
338,338,同塔大学,Vietnam,Dong thap university
339,339,电力大学,Vietnam,Electric power university
340,340,河内药科大学,Vietnam,Hanoi university of pharmacy
341,341,胡志明市交通运输大学,Vietnam,Ho chi minh city university of transport
342,342,越南航海大学,Vietnam,Vietnam maritime university
343,343,河内科学与科技大学,Vietnam,University of science and technology of hanoi
344,344,坚江大学,Vietnam,Kien giang university
345,345,河内检察大学,Vietnam,Hanoi procuratorate school
346,346,河内建筑大学,Vietnam,Hanoi university of architecture
347,347,胡志明市建筑大学,Vietnam,University of architecture ho chi minh city
348,348,工业经济科技大学,Vietnam,University of industrial economics and technology
349,349,国民经济大学,Vietnam,National economics university
350,350,岘港医药科技大学,Vietnam,Da nang university of medical technology and pharmacy
351,351,海阳卫生科技大学,Vietnam,Haiyang university of health science and technology
352,352,越南林业大学,Vietnam,Vietnam forestry university
353,353,河内法律大学,Vietnam,Kawachi university of law
354,354,胡志明市法律大学,Vietnam,Ho chi minh city law university
355,355,矿业地质大学,Vietnam,Hanoi university of mining and geology
356,356,河内开放大学,Vietnam,Hanoi open university
357,357,胡志明市开放大学,Vietnam,Ho chi minh city open university
358,358,工业美术大学,Vietnam,University of arts and design
359,359,胡志明市美术大学,Vietnam,Hcmc university of fine arts
360,360,越南美术大学,Vietnam,Vietnam university of fine art
361,361,胡志明市银行大学,Vietnam,Banking university of ho chi minh city
362,362,外商大学,Vietnam,Foreign business university
363,363,河内内务大学,Vietnam,Hanoi university of the interior
364,364,北江农林大学,Vietnam,Beijiang agriculture and forestry university
365,365,胡志明市农林大学,Vietnam,Ho chi minh city agriculture and forestry university
366,366,胡志明市经济大学,Vietnam,Hcmc university of economics and finance
367,367,归仁大学,Vietnam,Quy nhon university
368,368,范文同大学,Vietnam,Pham van dong university
369,369,胡志明市戏剧电影大学,Vietnam,Hcm academy of theatre and cinema
370,370,河内戏剧电影大学,Vietnam,University of theater and performing arts of hanoi
371,371,红星大学,Vietnam,Saodo university
372,372,河内师范大学,Vietnam,Hanoi national university of education
373,373,兴安科技师范大学,Vietnam,Hung yen university of technology and education
374,374,南定科技师范大学,Vietnam,Nanding normal university of science and technology
375,375,胡志明市科技师范大学,Vietnam,Hcmc university of technology and education
376,376,永隆科技师范大学,Vietnam,Vinh long university of technology education
377,377,荣市科技师范大学,Vietnam,Rongshi normal university of science and technology
378,378,中央艺术师范大学,Vietnam,Central normal university of arts
379,379,胡志明市师范大学,Vietnam,Ho chi minh city pedagogical university
380,380,河内体育师范大学,Vietnam,University of pedagogy of sports hanoi
381,381,胡志明市体育师范大学,Vietnam,Ho chi minh city sports normal university
382,382,越南财政会计大学,Vietnam,University of finance and accounting
383,383,河内资源与环境大学,Vietnam,Hanoi university of natural resources and environment
384,384,胡志明市资源与环境大学,Vietnam,Ho chi minh city university of resources and environment
385,385,北宁体育大学,Vietnam,Bac ninh sports university
386,386,岘港体育大学,Vietnam,Da nang sports university
387,387,胡志明市体育大学,Vietnam,Ho chi minh city sports university
388,388,河内水利大学,Vietnam,Thuy loi university
389,389,孙德胜大学,Vietnam,Ton duc thang university
390,390,河内文化大学,Vietnam,Hanoi university of culture
391,391,胡志明市文化大学,Vietnam,Hcmc university of culture
392,392,河内建设大学,Vietnam,Hanoi university of civil engineering
393,393,胡志明市医药大学,Vietnam,Ho chi minh city medical university
394,394,河内医科大学,Vietnam,Kawachi medical university
395,395,海防医药大学,Vietnam,Hai phong university of medicine and pharmacy
396,396,范玉石医科大学,Vietnam,Pham ngoc thach university of medicine
397,397,荣市医科大学,Vietnam,Vinh medical university
398,398,公共卫生大学,Vietnam,University of public health
399,399,太平医药大学,Vietnam,Taiping medical university
400,400,芹苴医药大学,Vietnam,Can tho university of medicine
401,401,越德大学,Vietnam,Viet duc university
402,402,顺化音乐学院,Vietnam,Hue academy of music
403,403,越南国家音乐学院,Vietnam,Vietnam national academy of music
404,404,越南舞蹈学院,Vietnam,Vietnam dance academy
405,405,胡志明市干部学院,Vietnam,Ho chi minh city cadre college
406,406,发展与政策学院,Vietnam,School of development and policy
407,407,胡志明市国家政治学院,Vietnam,Ho chi minh city national institute of political science
408,408,越南外交学院,Vietnam,Vietnam diplomatic academy
409,409,越南农业学院,Vietnam,Vietnam academy of agriculture
410,410,越南妇女学院,Vietnam,Vietnam women's institute
411,411,越南教育管理学院,Vietnam,Education management academy
412,412,越南财政学院,Vietnam,Vietnam academy of finance
413,413,越南青少年学院,Vietnam,Vietnam youth academy
414,414,司法学院,Vietnam,Judicial academy
415,415,党建学院,Vietnam,Party construction institute
416,416,越南古传医药学学院,Vietnam,Vietnam academy of traditional chinese medicine
417,417,胡志明市音乐学院,Vietnam,Ho chi minh city conservatory of music
418,418,薄寮大学,Vietnam,Boliao university
419,419,同奈大学,Vietnam,Dongna university
420,420,河静大学,Vietnam,Hajeong university
421,421,下龙大学,Vietnam,Ha long university
422,422,海阳大学,Vietnam,Haeyang university
423,423,海防大学,Vietnam,Coastal defense university
424,424,宏德大学,Vietnam,Hongde university
425,425,华闾大学,Vietnam,Hualu university
426,426,雄王大学,Vietnam,Hung vuong university
427,427,庆和大学,Vietnam,Keiwa university
428,428,乂安经济大学,Vietnam,Nyaan university of economics
429,429,芹苴科技技术大学,Vietnam,Can tho university of technology and technology
430,430,富安大学,Vietnam,Tomiyasu university
431,431,广平大学,Vietnam,Quang binh university
432,432,广南大学,Vietnam,Guangnan university
433,433,西贡大学,Vietnam,Saigon university
434,434,土龙木大学,Vietnam,Thu dau mot university
435,435,河内首都大学,Vietnam,Kawachi metropolitan university
436,436,新潮大学,Vietnam,Shincho university
437,437,太平大学,Vietnam,Taiping university
438,438,茶荣大学,Vietnam,Tra vinh university
439,439,清化文化体育与旅游大学,Vietnam,"Thanh hoa university of culture, sports and tourism"
440,440,同德胜大学,Vietnam,Tongdesheng university
441,441,越南河内大学,Vietnam,"Hanoi university, vietnam"
442,442,维新大学,Vietnam,Restoration university
443,443,越南国家大学,Vietnam,Vietnam national university
444,444,胡志明市科技大学,Vietnam,Ho chi minh city university of science and technology
445,445,国立经济大学,Vietnam,National economic university
446,446,文莱达鲁萨兰大学,Brunei,Universiti brunei darussalam
447,447,文莱理工学院,Brunei,Universiti teknologi brunei
448,448,苏丹谢里夫阿里伊斯兰大学,Brunei,Sultan sharif ali islamic university
449,449,文莱技术教育学院,Brunei,Institute of brunei technical education
450,450,文莱科技大学,Brunei,University of technology brunei
451,451,印度尼西亚大学,Indonesia,University of indonesia
452,452,万隆理工学院,Indonesia,Bandung institute of technology
453,453,加贾马达大学,Indonesia,Gadjah mada university
454,454,茂物农业大学,Indonesia,Ipb university
455,455,埃尔朗加大学,Indonesia,Airlangga university
456,456,帕达贾兰大学,Indonesia,Padjadjaran university
457,457,迪波尼哥罗大学,Indonesia,Diponegoro university
458,458,泗水理工学院,Indonesia,Institut teknologi sepuluh nopember
459,459,印尼建国大学,Indonesia,Universitas bina nusantara
460,460,布拉维再也大学,Indonesia,University of brawijaya
461,461,泗水穆罕默迪亚大学,Indonesia,Muhammadiyah university of surakarta
462,462,佩特拉基督教大学,Indonesia,Petra christian university
463,463,萨蒂亚瓦卡纳基督教大学,Indonesia,Satya wacana christian university
464,464,棉兰大学地区,Indonesia,Universitas medan area
465,465,日惹州立大学,Indonesia,Yogyakarta state university
466,466,老挝国立大学,Laos,National university of laos
467,467,占巴塞大学,Laos,Champasack university 
468,468,苏发努冯大学,Laos,Souphanouvong university
469,469,沙湾拿吉大学,Laos,Savannakhet university
470,470,七台河,Heilongjiang,Qitaihe
471,471,三亚,Hainan,Sanya
472,472,三明,Fujian,Sanming
473,473,三门峡,Henan,Sanmenxia
474,474,上海,Shanghai,Shanghai
475,475,上饶,Jiangxi,Shangrao
476,476,东莞,Guangdong,Dongguan
477,477,东营,Shandong,Dongying
478,478,中卫,Ningxia,Zhongwei
479,479,中山,Guangdong,Zhongshan
480,480,临汾,Shanxi,Linfen
481,481,临沂,Shandong,Linyi
482,482,临沧,Yunnan,Lincang
483,483,丹东,Liaoning,Dandong
